,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
0,"Census Tract 5610, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:561000",5541,2557,114,226,109,111,84,49,34,77,5541,3744,3549,51,0,0,0,34,110,17,93,1797,1483,0,0,0,0,314,0,0,4007,0,0,0,0,58,30,8,0,29,17,36,0,42,15,79,710,197,449,565,470,785,441,0,76
1,"Census Tract 6401, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:640100",1600,670,110,25,13,39,6,7,0,11,1600,594,500,61,0,11,0,11,11,4,7,1006,594,0,13,0,0,399,0,0,1132,4,0,0,0,0,0,19,0,23,25,9,78,0,4,32,350,39,27,222,142,133,22,0,3
2,"Census Tract 6305, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:630500",6464,3419,251,368,309,195,78,30,56,226,6464,275,143,101,0,3,0,0,28,0,28,6189,2699,9,0,0,0,3423,58,46,3551,327,0,0,23,0,86,84,41,285,56,81,177,134,117,155,1300,72,21,304,196,82,10,0,0
3,"Census Tract 6111, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:611100",2307,1253,99,129,89,121,78,9,25,46,2307,506,151,322,0,0,0,0,33,0,33,1801,1104,24,0,0,0,649,24,24,1324,13,0,12,0,0,13,11,0,54,43,75,16,27,24,22,706,89,26,116,32,40,5,0,0
4,"Census Tract 6114, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:611400",3298,1894,97,217,208,147,69,0,60,36,3298,222,102,78,0,0,0,0,42,0,42,3076,1910,10,26,0,0,1081,49,49,1886,115,0,0,0,0,16,0,0,188,37,170,169,93,35,35,701,60,32,77,64,88,6,0,0
5,"Census Tract 6406, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:640600",4246,2258,124,97,173,63,79,28,78,46,4246,2141,2017,50,0,34,0,0,40,0,40,2105,847,0,0,0,0,1113,145,145,2940,42,0,0,0,0,0,0,7,29,40,132,88,81,81,126,935,153,265,424,130,270,129,0,8
6,"Census Tract 6504, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:650400",6979,3349,176,202,304,275,149,115,74,144,6979,1212,566,571,0,75,0,0,0,0,0,5767,2234,0,33,0,0,3460,40,17,4062,58,0,0,9,24,92,81,92,341,30,186,179,153,50,111,1421,115,262,357,139,266,47,13,36
7,"Census Tract 6605, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:660500",5075,2730,169,233,242,307,270,45,57,96,5075,717,335,366,0,16,0,0,0,0,0,4358,1820,28,29,0,0,2379,102,94,2641,51,0,0,0,0,56,0,28,360,0,110,167,76,49,158,834,143,99,235,85,106,63,21,0
8,"Census Tract 6611, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:661100",6544,2924,279,164,182,181,50,65,31,139,6544,3106,273,2680,0,0,0,39,114,24,90,3438,1352,26,0,0,0,1687,373,304,3899,62,0,0,0,0,0,20,26,245,30,145,55,142,81,138,1354,203,119,696,361,145,60,17,0
9,"Census Tract 6706, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:670600",1068,453,2,25,11,47,30,0,6,14,1068,1047,5,1039,0,0,0,0,3,0,3,21,21,0,0,0,0,0,0,0,791,8,0,0,0,0,0,0,0,15,13,16,34,47,25,18,295,38,22,165,43,36,16,0,0
10,"Census Tract 6905, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:690500",736,407,0,41,42,5,0,0,9,65,736,736,0,732,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,4,0,0,0,0,0,5,0,0,0,0,13,18,35,18,128,5,17,142,13,52,55,0,0
11,"Census Tract 6910, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:691000",2444,1225,56,0,81,120,40,17,17,0,2444,2444,4,2430,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,1906,17,0,0,0,0,0,0,0,0,0,34,29,50,46,21,477,29,176,308,206,367,135,11,0
12,"Census Tract 7104, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:710400",5458,2282,125,261,168,133,29,51,83,76,5458,5364,26,5270,19,0,0,6,43,0,43,94,0,14,0,0,0,71,9,9,3652,57,0,0,0,0,0,0,0,0,19,92,65,119,184,108,916,207,206,1033,287,166,156,29,8
13,"Census Tract 7404, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:740400",4669,2234,153,128,142,158,39,0,17,54,4669,4267,3569,463,0,155,0,0,80,0,80,402,352,0,0,0,0,39,11,11,3244,0,0,0,8,0,0,0,0,0,0,29,2,31,23,42,848,60,262,512,289,809,302,7,20
14,"Census Tract 7708, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770800",5463,2751,149,151,51,157,74,120,18,40,5463,4203,3695,93,0,142,0,0,273,0,273,1260,841,0,0,0,0,261,158,158,4023,152,0,0,0,0,0,0,71,0,0,126,0,3,68,145,1227,116,344,700,253,607,194,17,0
15,"Census Tract 8008, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:800800",2268,1076,38,71,93,35,46,0,0,13,2268,2206,1903,18,0,266,0,0,19,0,19,62,54,0,0,0,0,8,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,8,10,12,179,16,42,103,60,672,416,116,39
16,"Census Tract 810, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:081000",7698,3471,26,25,0,0,206,123,99,215,7698,7132,5044,1168,0,813,0,0,107,29,78,566,277,42,0,33,0,135,79,18,5764,5,0,0,0,0,0,0,0,46,21,135,143,136,0,0,482,80,288,903,189,1870,884,322,260
17,"Census Tract 304, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030400",2708,1364,79,32,65,16,18,10,0,46,2708,1904,1285,297,29,199,0,0,94,0,94,804,713,0,0,0,0,73,18,8,2106,26,0,0,6,0,11,17,17,0,0,9,47,36,0,40,250,29,129,231,93,722,378,56,9
18,"Census Tract 309, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030900",3143,1564,91,54,16,10,34,35,9,20,3143,2709,1796,493,0,304,0,11,105,0,105,434,252,0,5,23,0,127,27,18,2634,22,0,0,0,12,12,0,0,14,10,0,110,0,0,52,260,8,60,336,141,935,432,167,63
19,"Census Tract 319, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:031900",2526,1198,11,65,10,63,0,22,8,86,2526,2143,1783,84,10,173,0,0,93,0,93,383,215,0,0,0,0,168,0,0,2055,38,0,0,0,0,0,0,0,0,0,31,64,72,0,25,119,34,0,158,117,986,300,85,26
20,"Census Tract 502, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:050200",5214,2512,223,268,155,74,13,13,0,38,5214,4674,3987,171,0,199,16,0,301,0,301,540,508,0,0,0,0,32,0,0,3759,0,0,0,0,0,0,0,0,38,38,69,13,17,0,95,332,73,155,558,114,1433,580,158,86
21,"Census Tract 8028.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802801",4756,2264,142,59,198,92,46,14,41,83,4756,4485,3850,110,0,492,0,0,33,0,33,271,66,0,0,0,0,198,7,7,3325,28,0,0,0,0,0,0,0,27,0,28,27,32,1,30,526,2,189,500,209,1040,527,105,54
22,"Census Tract 8031, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803100",3442,1664,136,163,127,103,11,27,0,43,3442,3329,3152,40,0,74,0,0,63,0,63,113,113,0,0,0,0,0,0,0,2242,18,0,0,0,0,0,0,0,0,0,22,10,1,1,28,340,17,135,227,126,792,460,52,13
23,"Census Tract 8016.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:801607",5335,2508,189,163,176,102,47,69,20,123,5335,5139,3224,26,0,1810,0,0,79,0,79,196,144,0,0,0,0,24,28,17,3781,34,11,0,0,0,0,0,0,0,0,0,0,1,0,21,530,59,95,356,191,1230,826,347,80
24,"Census Tract 8021, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802100",3463,1736,83,154,164,176,9,25,11,56,3463,3435,3009,13,0,235,0,0,178,0,178,28,28,0,0,0,0,0,0,0,2165,38,0,0,0,0,0,0,0,0,1,8,23,0,9,0,213,4,31,110,93,860,574,139,62
25,"Census Tract 8036.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803607",4885,2452,150,116,176,99,60,21,26,49,4885,4513,4120,24,0,273,0,17,79,0,79,372,206,0,0,0,0,160,6,0,3581,20,0,0,0,0,0,0,0,0,0,7,9,0,8,143,512,0,180,427,297,1164,620,127,67
26,"Census Tract 8046.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804606",7264,3594,171,290,435,86,31,28,27,144,7264,6683,5367,85,0,1087,0,0,144,0,144,581,322,0,0,0,0,198,61,61,5322,33,0,0,0,0,0,38,13,0,38,25,4,61,41,59,951,92,585,936,501,1372,454,56,63
27,"Census Tract 8047.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804705",4100,1835,110,186,93,46,19,12,5,62,4100,3039,2005,221,0,712,0,16,85,34,51,1061,233,0,0,0,0,612,216,172,2870,0,0,0,0,0,0,0,0,79,8,29,19,0,23,62,540,31,113,450,259,795,380,46,36
28,"Census Tract 8047.10, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804710",3972,1860,119,93,52,99,25,9,0,50,3972,3627,2979,146,20,379,0,0,103,26,77,345,143,0,0,0,0,202,0,0,2986,8,0,0,0,0,0,21,0,0,0,24,7,9,14,45,524,44,233,456,223,966,266,74,72
29,"Census Tract 8047.11, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804711",8325,4322,465,164,437,151,53,0,16,80,8325,6526,3059,391,7,3027,0,5,37,23,14,1799,633,0,59,50,0,894,163,163,5791,91,0,0,0,0,0,13,22,37,15,50,1,40,32,156,1188,52,184,785,286,1947,797,75,20
30,"Census Tract 8051.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805106",2990,1406,101,73,47,102,53,0,20,45,2990,2885,2411,89,0,345,0,0,40,0,40,105,47,58,0,0,0,0,0,0,2220,15,0,0,0,0,0,0,0,8,0,0,0,10,0,39,465,18,196,179,151,629,381,89,40
31,"Census Tract 8051.09, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805109",4179,2029,105,112,79,134,34,20,21,78,4179,3987,3472,92,0,413,0,0,10,0,10,192,172,0,0,0,0,9,11,0,3070,52,0,0,0,0,0,11,39,19,0,53,0,9,0,14,754,28,156,330,199,757,449,151,49
32,"Census Tract 8050.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805002",6227,3123,234,96,83,100,108,28,52,114,6227,5366,3683,338,0,1121,0,0,224,17,207,861,485,56,0,0,0,307,13,0,4613,92,0,0,0,0,0,0,49,72,0,67,79,53,153,87,1010,49,327,484,469,1152,411,59,0
33,"Census Tract 8048.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804803",6155,3082,176,300,270,130,32,3,17,125,6155,5483,3797,228,52,1326,0,0,80,13,67,672,434,0,0,0,0,238,0,0,4120,36,0,0,0,0,0,0,0,30,0,138,0,25,16,0,620,61,389,631,493,1052,515,114,0
34,"Census Tract 8048.08, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804808",2779,1369,77,86,86,63,36,30,20,34,2779,2437,1914,10,9,411,0,9,84,0,84,342,113,0,0,0,0,224,5,5,1903,20,0,0,0,0,0,0,0,10,14,0,20,4,9,20,431,46,97,323,157,586,141,21,4
35,"Census Tract 8049.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804902",5494,2690,71,210,166,93,35,11,33,123,5494,4837,4004,2,13,619,0,0,199,40,159,657,352,0,0,0,0,305,0,0,4035,52,44,0,0,0,1,0,0,62,33,113,16,0,60,49,711,24,256,443,374,1126,494,110,67
36,"Census Tract 8051.12, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805112",3276,1703,168,93,68,82,49,19,23,56,3276,2885,2029,15,0,815,0,7,19,0,19,391,296,49,0,0,0,28,18,7,2430,45,0,0,0,0,0,0,8,37,7,55,10,29,13,117,652,46,221,263,200,529,126,61,11
37,"Census Tract 8055.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805502",3983,1847,89,86,180,48,80,0,13,52,3983,3768,3596,18,0,65,0,43,46,0,46,215,215,0,0,0,0,0,0,0,2659,29,0,0,0,0,0,0,0,0,0,21,0,17,21,47,233,37,40,217,174,863,615,291,54
38,"Census Tract 8058.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805801",2490,1204,59,116,76,75,32,21,10,16,2490,2437,2155,33,0,71,0,0,178,6,172,53,53,0,0,0,0,0,0,0,1790,36,0,0,0,0,0,0,0,0,0,8,2,0,7,7,242,60,155,300,110,470,304,73,16
39,"Census Tract 4402.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440202",3507,1353,73,92,49,28,19,24,45,123,3507,3436,16,3391,0,29,0,0,0,0,0,71,0,27,0,0,0,22,22,0,2503,0,0,0,0,0,0,0,0,8,7,24,6,38,11,106,340,74,80,713,205,692,172,9,18
40,"Census Tract 4401.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440102",3431,1558,224,85,85,59,0,0,48,100,3431,3338,224,3085,0,0,20,0,9,0,9,93,30,43,0,0,0,20,0,0,2023,19,0,0,0,0,0,0,0,10,15,0,107,0,55,30,598,72,230,426,48,216,47,74,76
41,"Census Tract 8311, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:831100",7875,3793,255,260,129,67,135,23,17,210,7875,3271,2678,1,0,531,0,0,61,0,61,4604,3721,0,0,0,0,711,172,87,5525,277,0,5,0,74,41,50,114,314,31,97,40,31,197,184,912,117,252,823,294,901,654,68,49
42,"Census Tract 8317, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:831700",2365,1159,38,154,88,67,17,17,27,46,2365,917,662,35,0,158,0,0,62,0,62,1448,782,32,4,0,0,600,30,0,1547,11,0,0,0,18,29,0,0,35,15,68,57,14,16,11,294,50,87,195,127,330,134,56,0
43,"Census Tract 4301.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430102",2944,1358,155,13,39,13,12,0,15,100,2944,2837,44,2724,1,28,0,0,40,0,40,107,1,12,21,0,0,41,32,32,2380,23,0,0,0,0,0,0,0,12,0,18,48,42,68,47,370,129,142,547,230,432,208,44,20
44,"Census Tract 1913.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:191302",5370,3081,213,340,209,198,126,89,0,157,5370,715,439,249,0,0,0,0,27,0,27,4655,2194,20,0,50,0,2291,100,100,3115,112,0,0,0,0,37,91,84,267,0,18,305,24,118,148,864,158,124,396,126,185,58,0,0
45,"Census Tract 8241.13, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824113",7237,3433,134,87,464,184,87,88,0,45,7237,6412,5841,81,0,369,23,21,77,0,77,825,727,0,0,0,0,98,0,0,4912,22,0,0,0,0,26,15,61,27,0,45,0,0,25,217,899,117,247,594,377,1442,681,104,13
46,"Census Tract 8240.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824006",4254,2094,73,136,158,83,61,25,25,70,4254,3996,3835,27,0,102,0,0,32,0,32,258,200,0,0,0,0,20,38,38,2946,64,0,0,0,0,0,0,0,0,15,0,0,0,0,16,630,93,140,437,285,786,363,86,31
47,"Census Tract 2004.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:200402",4241,1978,232,92,189,16,69,54,25,109,4241,461,178,127,0,60,0,43,53,0,53,3780,1428,34,0,0,0,2173,145,120,2501,167,0,0,0,8,55,20,0,311,0,20,158,59,68,35,428,64,50,470,165,297,119,7,0
48,"Census Tract 1913.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:191301",5686,3048,326,227,327,150,40,51,75,169,5686,971,163,534,0,254,0,0,20,0,20,4715,1823,0,0,0,0,2626,266,35,3222,183,0,0,0,23,18,0,24,157,25,84,216,148,221,305,818,80,150,228,145,354,42,1,0
49,"Census Tract 1906.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190601",5126,2494,174,212,177,113,106,74,12,63,5126,800,487,223,0,90,0,0,0,0,0,4326,1782,14,0,0,0,2439,91,91,2999,106,0,0,0,0,58,65,31,138,11,129,145,10,0,143,962,49,95,323,266,296,141,31,0
50,"Census Tract 1907.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190701",2861,1440,64,143,134,79,26,30,9,43,2861,582,491,21,0,46,0,10,14,0,14,2279,1074,0,0,0,0,1176,29,20,1826,51,0,0,0,0,19,10,10,162,0,55,90,41,38,53,618,25,82,193,135,176,68,0,0
51,"Census Tract 1907.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190702",5177,2489,233,340,106,55,111,60,47,125,5177,744,540,173,0,0,0,9,22,22,0,4433,1982,65,0,0,0,2386,0,0,2912,123,19,0,0,42,90,31,48,486,12,88,271,73,56,83,618,83,82,289,129,202,70,17,0
52,"Census Tract 1904.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190401",3983,1839,175,70,163,44,30,11,29,82,3983,1617,1335,0,23,259,0,0,0,0,0,2366,1383,18,0,32,0,802,131,131,2536,39,0,0,0,18,21,0,28,40,47,80,60,41,82,68,689,136,124,296,199,411,130,14,13
53,"Census Tract 1906.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190602",5867,3090,206,317,200,156,123,15,149,107,5867,1207,829,140,7,168,0,22,41,0,41,4660,2121,16,0,0,0,2471,52,52,3661,99,0,0,6,38,24,14,31,428,72,170,124,97,84,133,1096,111,129,424,134,338,107,2,0
54,"Census Tract 7702.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770202",4828,2299,92,74,88,135,100,55,15,97,4828,4381,4215,1,20,145,0,0,0,0,0,447,95,0,0,0,0,238,114,114,3564,37,0,0,0,0,15,0,21,10,0,0,59,47,0,65,950,31,320,688,279,603,361,41,37
55,"Census Tract 7706.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770601",3411,1713,111,53,76,102,15,95,0,52,3411,2624,2237,34,0,308,0,0,45,0,45,787,418,0,0,0,0,360,9,9,2488,83,0,0,1,16,0,0,9,258,30,20,15,43,62,23,476,55,174,303,225,482,160,46,7
56,"Census Tract 7706.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770602",5285,2801,171,179,228,120,110,0,25,276,5285,2353,1745,147,0,430,0,7,24,24,0,2932,1836,3,0,0,11,1064,18,18,3424,191,0,0,0,8,27,15,87,270,27,281,52,30,27,58,768,41,115,511,191,475,209,8,33
57,"Census Tract 8133.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:813301",3492,2006,372,113,160,177,36,44,0,75,3492,351,99,250,0,2,0,0,0,0,0,3141,1135,0,0,0,0,2006,0,0,1797,39,0,0,22,6,17,26,15,216,32,48,65,96,79,17,472,61,110,261,52,147,16,0,0
58,"Census Tract 8137.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:813702",3721,1881,150,230,86,50,132,73,60,105,3721,457,39,396,0,9,0,13,0,0,0,3264,1262,0,0,9,0,1958,35,35,2082,246,18,0,0,13,69,9,75,328,0,50,53,66,37,174,458,23,31,254,64,100,0,14,0
59,"Census Tract 8133.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:813302",3809,2010,314,182,122,98,66,27,11,65,3809,216,135,77,0,0,0,0,4,0,4,3593,1417,56,0,0,0,2105,15,0,2102,107,0,0,14,22,39,10,34,154,27,117,57,42,199,27,614,105,46,288,106,83,11,0,0
60,"Census Tract 8348, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:834800",1566,710,76,55,17,32,6,0,0,4,1566,1504,0,1504,0,0,0,0,0,0,0,62,56,0,0,0,0,0,6,0,1123,8,0,0,0,0,8,0,0,0,0,25,16,49,121,35,368,84,35,214,56,89,15,0,0
61,"Census Tract 8398, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839800",2834,1345,70,18,86,74,0,13,17,110,2834,2221,1280,24,0,885,0,0,32,0,32,613,408,0,0,0,0,205,0,0,2086,50,0,0,12,20,24,0,23,65,13,39,20,0,32,61,350,34,97,367,66,419,318,39,37
62,"Census Tract 8397, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839700",4417,2304,163,85,182,73,41,41,0,91,4417,2582,1515,54,0,966,0,0,47,0,47,1835,1274,0,11,10,0,467,73,46,3213,77,0,0,0,0,25,0,0,114,29,27,56,49,90,84,558,88,126,386,167,885,298,74,80
63,"Census Tract 8399, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:839900",4374,2034,122,118,75,25,28,12,3,23,4374,3283,2177,163,0,882,0,0,61,0,61,1091,684,0,23,0,12,358,14,14,3345,29,0,0,0,0,0,0,13,104,20,40,133,17,74,96,734,57,175,384,242,699,395,51,82
64,"Census Tract 8352, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:835200",1833,901,55,83,43,19,9,18,9,14,1833,641,604,0,0,37,0,0,0,0,0,1192,519,0,0,0,0,613,60,39,1251,80,0,0,0,10,11,28,0,61,11,50,16,11,36,52,412,42,57,142,63,122,47,0,0
65,"Census Tract 8388, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838800",3526,1683,91,273,266,125,40,16,4,80,3526,2057,179,1867,0,0,0,0,11,0,11,1469,1392,28,0,0,0,49,0,0,1830,59,0,0,0,0,0,28,27,101,16,84,43,72,38,50,685,83,103,234,74,77,25,31,0
66,"Census Tract 8339, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:833900",2441,985,56,35,117,90,19,11,23,73,2441,1420,4,1411,0,0,0,0,5,0,5,1021,892,31,4,0,0,77,17,17,1423,44,0,3,11,20,17,29,16,29,24,93,52,42,72,13,493,24,21,247,83,61,28,0,1
67,"Census Tract 8366, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:836600",2337,1015,36,64,48,72,0,43,0,48,2337,1058,331,717,0,0,0,0,10,0,10,1279,599,11,23,0,0,593,53,14,1591,28,0,0,0,0,25,0,0,50,28,37,10,28,76,15,354,45,96,225,121,380,73,0,0
68,"Census Tract 8368, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:836800",2214,1184,83,123,95,15,0,31,59,98,2214,2149,161,1988,0,0,0,0,0,0,0,65,0,0,0,0,0,32,33,33,1352,13,0,0,0,0,12,10,0,15,0,55,32,122,142,10,501,52,41,134,72,83,49,9,0
69,"Census Tract 8310, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:831000",2209,1131,85,73,12,0,0,0,0,95,2209,2029,1771,69,0,143,0,0,46,0,46,180,180,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,65,17,19,90,42,786,469,138,56
70,"Census Tract 8367, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:836700",2252,1037,143,175,81,40,51,0,0,39,2252,1792,78,1703,0,6,0,0,5,5,0,460,97,0,0,0,0,363,0,0,1365,23,0,0,0,0,0,0,0,18,0,34,18,34,74,62,335,38,101,342,95,160,23,8,0
71,"Census Tract 8322, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:832200",3397,1499,241,64,21,10,1,16,0,29,3397,2754,2379,69,0,94,0,9,203,0,203,643,452,0,0,21,0,106,64,64,2546,66,0,0,0,0,0,0,0,2,0,9,0,0,13,10,253,17,20,135,134,872,770,187,58
72,"Census Tract 8324, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:832400",2926,1420,110,17,38,40,9,6,45,46,2926,1993,1535,139,0,218,0,0,101,0,101,933,754,16,0,0,0,145,18,8,2270,21,0,0,0,8,0,0,0,60,0,17,22,19,17,26,331,10,45,153,89,1006,357,45,44
73,"Census Tract 7709.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770902",3634,1586,100,69,91,56,21,0,15,0,3634,3432,3231,18,0,175,8,0,0,0,0,202,137,0,0,0,0,65,0,0,2796,34,0,0,0,0,0,0,17,16,0,72,0,37,56,84,862,29,189,354,337,522,165,22,0
74,"Census Tract 7302.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:730202",3439,1560,26,11,165,91,32,36,17,86,3439,3433,81,3323,0,8,0,0,21,0,21,6,6,0,0,0,0,0,0,0,2518,8,0,0,0,0,0,0,0,19,6,15,19,20,104,32,768,47,114,702,253,265,107,39,0
75,"Census Tract 6603.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:660301",1537,660,60,16,86,27,16,14,14,37,1537,599,24,564,0,0,0,0,11,0,11,938,327,0,0,0,0,566,45,45,857,24,5,0,0,0,10,30,0,86,10,19,10,43,19,5,376,52,23,82,33,25,5,0,0
76,"Census Tract 6603.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:660302",5250,2663,204,259,153,153,108,35,29,26,5250,1314,151,1062,0,45,0,42,14,0,14,3936,1300,0,0,0,0,2596,40,40,3365,123,17,0,8,10,10,13,25,293,32,202,98,104,165,141,1068,106,177,350,163,199,47,0,14
77,"Census Tract 4301.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430101",3431,1573,27,97,102,23,42,18,33,92,3431,3395,81,3301,0,0,0,0,13,0,13,36,24,12,0,0,0,0,0,0,2486,0,0,0,10,0,0,27,0,0,0,18,29,66,63,35,401,155,153,881,225,250,116,47,10
78,"Census Tract 2522.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:252201",2927,1299,66,76,70,61,35,28,65,59,2927,2848,137,2697,0,7,0,0,7,0,7,79,26,32,0,0,0,10,11,0,2150,12,0,0,0,8,9,0,0,0,24,68,58,166,178,33,632,71,106,387,116,214,60,0,8
79,"Census Tract 633.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:063302",4140,1922,85,27,24,0,0,0,70,146,4140,3830,3252,88,0,416,0,0,74,0,74,310,287,0,0,23,0,0,0,0,3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,9,85,127,71,1524,742,287,222
80,"Census Tract 701.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:070103",1587,662,26,0,0,0,0,0,12,100,1587,1487,1252,109,0,117,0,0,9,0,9,100,82,0,0,0,0,18,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,21,85,40,492,293,49,37
81,"Census Tract 2207.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:220701",3337,1596,63,83,175,32,54,0,53,7,3337,1011,742,187,0,27,0,0,55,0,55,2326,1914,0,8,0,0,395,9,9,2153,26,0,0,0,0,2,0,0,85,10,20,61,63,0,10,701,62,70,204,103,485,175,76,0
82,"Census Tract 8340, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:834000",2956,1170,46,74,153,30,30,38,10,14,2956,2891,12,2835,0,33,0,0,11,0,11,65,65,0,0,0,0,0,0,0,2036,25,0,0,0,0,0,0,23,22,0,54,21,90,92,5,533,46,84,471,301,187,82,0,0
83,"Census Tract 8343, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:834300",6384,2779,266,44,62,231,123,44,0,135,6384,6318,49,6172,0,38,0,16,43,0,43,66,54,12,0,0,0,0,0,0,4400,64,0,0,0,0,0,0,0,65,10,48,16,28,298,44,1029,158,253,927,324,735,263,103,35
